StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1H_1,Q2H,Q3H_1,Q1A_1,Q2A,Q3A_1,PROLIFIC_PID,Condition,ResultX,ResultY,TestOrder,Test1Text,Test2Text,Disease
2026-07-08 17:33:50,2026-07-08 17:33:50,2,100,0,1,2026-07-08 17:33:51,R_3IwbGouEcxSdz14,test,,,,,-21,1,-59,,Moderation,L2,Y2,YX,Y2,L2,A
2026-07-08 17:33:51,2026-07-08 17:33:51,2,100,0,1,2026-07-08 17:33:51,R_cPhf9AXQoDKTdBQ,test,,-37,1,-21,,,,,Polarization,L1,Y1,XY,L1,Y1,H
2026-07-08 17:33:51,2026-07-08 17:33:51,2,100,0,1,2026-07-08 17:33:51,R_9pBtHRvaNDxGlKe,test,,-81,1,-58,,,,,Control,a hypozedic disease,an allozedic disease,YX,an allozedic disease,a hypozedic disease,H
2026-07-08 17:33:51,2026-07-08 17:33:51,2,100,0,1,2026-07-08 17:33:52,R_1C9Zub98582hZZk,test,,,,,-73,1,-92,,Polarization,L1,Y1,XY,L1,Y1,A
2026-07-08 17:33:52,2026-07-08 17:33:52,2,100,0,1,2026-07-08 17:33:52,R_6Dx2cdx3GFPIBP8,test,,-87,2,-9,,,,,Moderation,L2,Y2,YX,Y2,L2,H
2026-07-08 17:33:52,2026-07-08 17:33:52,2,100,0,1,2026-07-08 17:33:52,R_4SkPEPrdndiodH8,test,,,,,-100,2,-75,,Control,a hypozedic disease,an allozedic disease,XY,a hypozedic disease,an allozedic disease,A
2026-07-08 17:33:52,2026-07-08 17:33:53,2,100,1,1,2026-07-08 17:33:53,R_3C1GtgDcwYyX47s,test,,,,,-98,1,-12,,Control,a hypozedic disease,an allozedic disease,XY,a hypozedic disease,an allozedic disease,A
2026-07-08 17:33:53,2026-07-08 17:33:53,2,100,0,1,2026-07-08 17:33:53,R_2rzMg03bwCGPw5E,test,,-73,1,-23,,,,,Polarization,L1,Y1,YX,Y1,L1,H
2026-07-08 17:33:53,2026-07-08 17:33:53,2,100,0,1,2026-07-08 17:33:53,R_7QG0s219fVr0f2u,test,,-95,1,-48,,,,,Moderation,L2,Y2,YX,Y2,L2,H
2026-07-08 17:33:53,2026-07-08 17:33:54,2,100,1,1,2026-07-08 17:33:54,R_cHF0lacBNt6bvNA,test,,,,,2,1,-69,,Moderation,L2,Y2,XY,L2,Y2,A
2026-07-08 17:33:54,2026-07-08 17:33:54,2,100,0,1,2026-07-08 17:33:54,R_9GOVVqUBxWhPCcK,test,,,,,-100,2,-74,,Control,a hypozedic disease,an allozedic disease,YX,an allozedic disease,a hypozedic disease,A
2026-07-08 17:33:54,2026-07-08 17:33:54,2,100,0,1,2026-07-08 17:33:54,R_0dNefJymdzSLGKi,test,,-99,1,-4,,,,,Polarization,L1,Y1,XY,L1,Y1,H
2026-07-08 17:33:55,2026-07-08 17:33:55,2,100,0,1,2026-07-08 17:33:55,R_0SXLl2MBCqTQGii,test,,,,,-94,2,-90,,Moderation,L2,Y2,XY,L2,Y2,A
2026-07-08 17:33:55,2026-07-08 17:33:55,2,100,0,1,2026-07-08 17:33:55,R_3JhjtcnDEGEC1W6,test,,-62,2,-57,,,,,Control,a hypozedic disease,an allozedic disease,YX,an allozedic disease,a hypozedic disease,H
2026-07-08 17:33:55,2026-07-08 17:33:55,2,100,0,1,2026-07-08 17:33:56,R_5aRx9Hx7xi08YqG,test,,,,,-76,1,5,,Polarization,L1,Y1,YX,Y1,L1,A
2026-07-08 17:33:56,2026-07-08 17:33:56,2,100,0,1,2026-07-08 17:33:56,R_8iWLKD0anosw6Fw,test,,-87,2,-67,,,,,Control,a hypozedic disease,an allozedic disease,XY,a hypozedic disease,an allozedic disease,H
2026-07-08 17:33:56,2026-07-08 17:33:56,2,100,0,1,2026-07-08 17:33:56,R_6XQRJ2hJtxjrie2,test,,-77,1,-70,,,,,Moderation,L2,Y2,YX,Y2,L2,H
2026-07-08 17:33:56,2026-07-08 17:33:56,2,100,0,1,2026-07-08 17:33:57,R_3yK6pcLnkf4CK9g,test,,,,,-90,1,-97,,Polarization,L1,Y1,XY,L1,Y1,A
2026-07-08 17:33:57,2026-07-08 17:33:57,2,100,0,1,2026-07-08 17:33:57,R_d4r8iIGC8ld9QF0,test,,-84,1,-74,,,,,Polarization,L1,Y1,XY,L1,Y1,H
2026-07-08 17:33:57,2026-07-08 17:33:57,2,100,0,1,2026-07-08 17:33:57,R_cN5LornU43ZS5fM,test,,,,,-25,2,-48,,Moderation,L2,Y2,YX,Y2,L2,A
2026-07-08 17:33:57,2026-07-08 17:33:58,2,100,1,1,2026-07-08 17:33:58,R_enssvlLUnvZBxzw,test,,,,,-41,1,4,,Control,a hypozedic disease,an allozedic disease,XY,a hypozedic disease,an allozedic disease,A
2026-07-08 17:33:58,2026-07-08 17:33:58,2,100,0,1,2026-07-08 17:33:58,R_cV1bUtM9l4eRa8m,test,,-76,2,-88,,,,,Control,a hypozedic disease,an allozedic disease,YX,an allozedic disease,a hypozedic disease,H
2026-07-08 17:33:58,2026-07-08 17:33:58,2,100,0,1,2026-07-08 17:33:59,R_8jCoREidQaZxK3I,test,,-63,2,-40,,,,,Moderation,L2,Y2,XY,L2,Y2,H
2026-07-08 17:33:59,2026-07-08 17:33:59,2,100,0,1,2026-07-08 17:33:59,R_5iqrlDIvlkjqYNU,test,,,,,-62,2,-12,,Polarization,L1,Y1,YX,Y1,L1,A
2026-07-08 17:33:59,2026-07-08 17:33:59,2,100,0,1,2026-07-08 17:33:59,R_8wfAmFMoUEGPUYS,test,,-53,1,-9,,,,,Polarization,L1,Y1,YX,Y1,L1,H
2026-07-08 17:33:59,2026-07-08 17:34:00,2,100,1,1,2026-07-08 17:34:00,R_a2WzWPPzD6yoP42,test,,,,,2,2,-55,,Control,a hypozedic disease,an allozedic disease,XY,a hypozedic disease,an allozedic disease,A
2026-07-08 17:34:00,2026-07-08 17:34:00,2,100,0,1,2026-07-08 17:34:00,R_bK31TBjt2H4Q4yq,test,,,,,-67,1,-99,,Moderation,L2,Y2,XY,L2,Y2,A
2026-07-08 17:34:00,2026-07-08 17:34:00,2,100,0,1,2026-07-08 17:34:01,R_a30gfkDjhADOhlI,test,,-86,2,-39,,,,,Moderation,L2,Y2,YX,Y2,L2,H
2026-07-08 17:34:01,2026-07-08 17:34:01,2,100,0,1,2026-07-08 17:34:01,R_8dWVK3qi9PpPdUa,test,,-59,2,-72,,,,,Control,a hypozedic disease,an allozedic disease,YX,an allozedic disease,a hypozedic disease,H
2026-07-08 17:34:01,2026-07-08 17:34:01,2,100,0,1,2026-07-08 17:34:01,R_6saTAPtjaVkyQQK,test,,,,,-1,2,-16,,Polarization,L1,Y1,XY,L1,Y1,A
2026-07-08 17:34:02,2026-07-08 17:34:02,2,100,0,1,2026-07-08 17:34:02,R_87zZe8wWIn6Jfq6,test,,,,,-27,2,-6,,Polarization,L1,Y1,XY,L1,Y1,A
2026-07-08 17:34:02,2026-07-08 17:34:02,2,100,0,1,2026-07-08 17:34:02,R_exQpV2Iaxd6AYIK,test,,-65,2,-22,,,,,Control,a hypozedic disease,an allozedic disease,YX,an allozedic disease,a hypozedic disease,H
2026-07-08 17:34:02,2026-07-08 17:34:02,2,100,0,1,2026-07-08 17:34:03,R_erkGJ9VCPFrIMgm,test,,-86,2,-63,,,,,Moderation,L2,Y2,YX,Y2,L2,H
2026-07-08 17:34:03,2026-07-08 17:34:03,2,100,0,1,2026-07-08 17:34:03,R_3CpzW4JfaEOU8xE,test,,,,,-6,2,-81,,Control,a hypozedic disease,an allozedic disease,XY,a hypozedic disease,an allozedic disease,A
2026-07-08 17:34:03,2026-07-08 17:34:03,2,100,0,1,2026-07-08 17:34:03,R_3DV43R2dDaNUfgW,test,,,,,-28,1,0,,Moderation,L2,Y2,XY,L2,Y2,A
2026-07-08 17:34:03,2026-07-08 17:34:04,2,100,1,1,2026-07-08 17:34:04,R_0lD48wHKZ2B1ncq,test,,-48,1,-34,,,,,Polarization,L1,Y1,YX,Y1,L1,H
2026-07-08 17:34:04,2026-07-08 17:34:04,2,100,0,1,2026-07-08 17:34:04,R_bwNFaG2BfFuboLY,test,,-76,2,-92,,,,,Polarization,L1,Y1,XY,L1,Y1,H
2026-07-08 17:34:04,2026-07-08 17:34:04,2,100,0,1,2026-07-08 17:34:04,R_eereDlw5i5qGO0K,test,,,,,-55,1,-29,,Control,a hypozedic disease,an allozedic disease,YX,an allozedic disease,a hypozedic disease,A
2026-07-08 17:34:04,2026-07-08 17:34:05,2,100,1,1,2026-07-08 17:34:05,R_e9x2Q9ZNpnuPlWu,test,,-43,1,-84,,,,,Moderation,L2,Y2,YX,Y2,L2,H
2026-07-08 17:34:05,2026-07-08 17:34:05,2,100,0,1,2026-07-08 17:34:05,R_dnY76wev6ATwcHs,test,,,,,-71,2,2,,Control,a hypozedic disease,an allozedic disease,XY,a hypozedic disease,an allozedic disease,A
2026-07-08 17:34:05,2026-07-08 17:34:05,2,100,0,1,2026-07-08 17:34:05,R_0cekBAFItAt9dK6,test,,,,,1,1,-12,,Moderation,L2,Y2,XY,L2,Y2,A
2026-07-08 17:34:06,2026-07-08 17:34:06,2,100,0,1,2026-07-08 17:34:06,R_0plmklXo8ssvd0G,test,,-99,2,-91,,,,,Polarization,L1,Y1,YX,Y1,L1,H
2026-07-08 17:34:06,2026-07-08 17:34:06,2,100,0,1,2026-07-08 17:34:06,R_9yFnEn8i6vat9hc,test,,5,1,-58,,,,,Control,a hypozedic disease,an allozedic disease,XY,a hypozedic disease,an allozedic disease,H
2026-07-08 17:34:06,2026-07-08 17:34:06,2,100,0,1,2026-07-08 17:34:07,R_cwHsKRDjnO94tEi,test,,,,,-24,2,3,,Moderation,L2,Y2,YX,Y2,L2,A
2026-07-09 12:51:00,2026-07-09 12:51:49,1,100,49,1,2026-07-09 12:51:50,R_3EuqbMqqweTeUmu,preview,EN,49,1,84,,,,,Polarization,L1,Y1,YX,Y1,L1,H
2026-07-09 12:52:18,2026-07-09 12:52:19,2,100,1,1,2026-07-09 12:52:19,R_egtrvkgsaolb0Sq,test,,,,,-7,2,3,,Control,a hypozedic disease,an allozedic disease,XY,a hypozedic disease,an allozedic disease,A
2026-07-09 12:52:19,2026-07-09 12:52:19,2,100,0,1,2026-07-09 12:52:19,R_cNndntszShhLB2u,test,,-69,1,-11,,,,,Polarization,L1,Y1,XY,L1,Y1,H
2026-07-09 12:52:20,2026-07-09 12:52:20,2,100,0,1,2026-07-09 12:52:20,R_d0jajeASUoqM5mu,test,,,,,-71,2,-53,,Moderation,L2,Y2,YX,Y2,L2,A
2026-07-09 12:52:20,2026-07-09 12:52:20,2,100,0,1,2026-07-09 12:52:20,R_9uUZTwgbIttRPo2,test,,,,,-97,1,-73,,Moderation,L2,Y2,YX,Y2,L2,A
2026-07-09 12:52:20,2026-07-09 12:52:20,2,100,0,1,2026-07-09 12:52:21,R_9BmoB9SJfdZeF02,test,,-91,2,-25,,,,,Control,a hypozedic disease,an allozedic disease,XY,a hypozedic disease,an allozedic disease,H
2026-07-09 13:14:39,2026-07-09 13:15:07,0,100,27,1,2026-07-09 13:15:08,R_5h6CcAZkM2EWvUD,anonymous,EN,,,,45,2,85,{{%TEST123%}},Polarization,L1,Y1,XY,L1,Y1,A
2026-07-09 13:29:15,2026-07-09 13:29:57,0,100,42,1,2026-07-09 13:29:57,R_6iyAismhliNpQIF,anonymous,EN,43,2,38,,,,69beddef130e4b750f5a4823,Control,a hypozedic disease,an allozedic disease,YX,an allozedic disease,a hypozedic disease,H
2026-07-09 13:29:11,2026-07-09 13:30:47,0,100,96,1,2026-07-09 13:30:47,R_1IiscY3dUyO1KlX,anonymous,EN,30,2,-15,,,,69cc19a2449f9d4df4a878d6,Moderation,L2,Y2,YX,Y2,L2,H
2026-07-09 13:29:19,2026-07-09 13:31:35,0,100,136,1,2026-07-09 13:31:35,R_1fvZ3D0YsNsQ0KZ,anonymous,EN,,,,36,2,40,6a15eaa120627cd00eb97ea9,Polarization,L1,Y1,XY,L1,Y1,A
2026-07-09 13:29:35,2026-07-09 13:31:39,0,100,123,1,2026-07-09 13:31:39,R_6hMVC9TXLrm8cgn,anonymous,EN,61,2,65,,,,5e00f9a211999fcea4169800,Polarization,L1,Y1,XY,L1,Y1,H
2026-07-09 13:31:45,2026-07-09 13:34:36,0,100,170,1,2026-07-09 13:34:36,R_5oI3jRoZNZBliJV,anonymous,EN,,,,61,2,-20,69cad66437a1d1b542e2f5f5,Moderation,L2,Y2,YX,Y2,L2,A
2026-07-09 13:33:10,2026-07-09 13:34:55,0,100,104,1,2026-07-09 13:34:55,R_3oA0xVyAWtZKwHm,anonymous,EN,35,2,35,,,,612bb0cdecc9e45781bbf511,Moderation,L2,Y2,YX,Y2,L2,H
2026-07-09 13:31:21,2026-07-09 13:37:36,0,100,374,1,2026-07-09 13:37:36,R_1RfvFuKDq8MzaJF,anonymous,EN,,,,45,2,54,67e830bb6eaebc236b9cd37e,Control,a hypozedic disease,an allozedic disease,XY,a hypozedic disease,an allozedic disease,A
2026-07-09 13:37:24,2026-07-09 13:38:41,0,100,77,1,2026-07-09 13:38:42,R_3BQRkbme7NGqb7I,anonymous,EN,66,1,66,,,,5c663cd56fdc87000162e255,Polarization,L1,Y1,YX,Y1,L1,H
2026-07-09 13:38:01,2026-07-09 13:40:07,0,100,126,1,2026-07-09 13:40:07,R_7PclCb5vyizCcuJ,anonymous,EN,,,,58,1,29,69febf4039ac6bf71336a650,Control,a hypozedic disease,an allozedic disease,XY,a hypozedic disease,an allozedic disease,A
2026-07-09 13:39:10,2026-07-09 13:40:42,0,100,91,1,2026-07-09 13:40:42,R_7QMguylcWC82krB,anonymous,EN,57,2,38,,,,6a1dc49feeb50e5bafde818d,Moderation,L2,Y2,XY,L2,Y2,H
2026-07-09 13:43:39,2026-07-09 13:46:20,0,100,160,1,2026-07-09 13:46:20,R_5OOAKr3IerZsglH,anonymous,EN,,,,50,1,50,67fd8520a5dcf6eaa319fc52,Control,a hypozedic disease,an allozedic disease,YX,an allozedic disease,a hypozedic disease,A
2026-07-09 13:50:47,2026-07-09 13:55:28,0,100,281,1,2026-07-09 13:55:29,R_364Cv3mY8SCZKh3,anonymous,EN,,,,43,2,9,6734ab83047e85e2f8795acb,Polarization,L1,Y1,XY,L1,Y1,A
2026-07-09 13:59:33,2026-07-09 14:01:05,0,100,92,1,2026-07-09 14:01:06,R_517J0M8Yfee95lY,anonymous,EN,56,1,76,,,,677ad06ebf62b45f68bc3ed4,Polarization,L1,Y1,YX,Y1,L1,H
